title,author,language,genre,year,cover_url
स्कंदगुप्त,जयशंकर प्रसाद,Hindi,नाटक,1928,
रश्मिरथी,रामधारी सिंह दिनकर,Hindi,काव्य,1952,
उर्वशी,रामधारी सिंह दिनकर,Hindi,काव्य,1961,
कुरुक्षेत्र,रामधारी सिंह दिनकर,Hindi,काव्य,1946,
मधुशाला,हरिवंश राय बच्चन,Hindi,काव्य,1935,
गुनाहों का देवता,धर्मवीर भारती,Hindi,रोमांस,1949,
अंधा युग,धर्मवीर भारती,Hindi,नाटक,1954,
मैला आँचल,फणीश्वरनाथ रेणु,Hindi,सामाजिक,1954,
परती परिकथा,फणीश्वरनाथ रेणु,Hindi,सामाजिक,1957,
तमस,भीष्म साहनी,Hindi,ऐतिहासिक,1974,
झूठा सच,यशपाल,Hindi,सामाजिक,1958,
त्यागपत्र,जैनेन्द्र कुमार,Hindi,सामाजिक,1937,
चित्रलेखा,भगवती चरण वर्मा,Hindi,दार्शनिक,1934,
आपका बंटी,मन्नू भंडारी,Hindi,सामाजिक,1971,
आषाढ़ का एक दिन,मोहन राकेश,Hindi,नाटक,1958,
आधा गाँव,राही मासूम रज़ा,Hindi,सामाजिक,1966,
सूरज का सातवाँ घोड़ा,धर्मवीर भारती,Hindi,सामाजिक,1952,
कितने पाकिस्तान,कमलेश्वर,Hindi,ऐतिहासिक,2000,
राग दरबारी,श्रीलाल शुक्ल,Hindi,व्यंग्य,1968,
बाणभट्ट की आत्मकथा,हजारी प्रसाद द्विवेदी,Hindi,ऐतिहासिक,1946,
पुनर्नवा,हजारी प्रसाद द्विवेदी,Hindi,ऐतिहासिक,1973,
ययाती,वि. स. खांडेकर,Marathi,सामाजिक,1959,
अमृतवेल,वि. स. खांडेकर,Marathi,सामाजिक,1967,
उल्का,वि. स. खांडेकर,Marathi,सामाजिक,1934,
क्रौंचवध,वि. स. खांडेकर,Marathi,सामाजिक,1942,
श्रीमान योगी,रणजित देसाई,Marathi,ऐतिहासिक,1968,
स्वामी,रणजित देसाई,Marathi,ऐतिहासिक,1974,
राधेय,रणजित देसाई,Marathi,पौराणिक,1973,
मृत्युंजय,शिवाजी सावंत,Marathi,पौराणिक,1967,
छावा,शिवाजी सावंत,Marathi,ऐतिहासिक,1980,
युगंधर,शिवाजी सावंत,Marathi,पौराणिक,2000,
कोसला,भालचंद्र नेमाडे,Marathi,सामाजिक,1963,
हिंदू,भालचंद्र नेमाडे,Marathi,ऐतिहासिक,2010,
बनगरवाडी,व्यंकटेश माडगूळकर,Marathi,ग्रामीण,1955,
वावटळ,व्यंकटेश माडगूळकर,Marathi,सामाजिक,1962,
माणदेशी माणसं,व्यंकटेश माडगूळकर,Marathi,ग्रामीण,1949,
व्यक्ती आणि वल्ली,पु. ल. देशपांडे,Marathi,विनोदी,1966,
बटाट्याची चाळ,पु. ल. देशपांडे,Marathi,विनोदी,1958,
असा मी असामी,पु. ल. देशपांडे,Marathi,विनोदी,1964,
नस्ती उठाठेव,पु. ल. देशपांडे,Marathi,विनोदी,1970,
अपूर्वाई,पु. ल. देशपांडे,Marathi,प्रवास,1960,
स्मृतिचित्रे,लक्ष्मीबाई टिळक,Marathi,आत्मचरित्र,1934,
श्यामची आई,साने गुरुजी,Marathi,आत्मचरित्र,1933,
धडपडणारी मुले,साने गुरुजी,Marathi,सामाजिक,1935,
पानिपत,विश्वास पाटील,Marathi,ऐतिहासिक,1988,
लस्ट फॉर लाइफ,विश्वास पाटील,Marathi,सामाजिक,2008,
नटसम्राट,वि. वा. शिरवाडकर,Marathi,नाटक,1970,
विशाखा,वि. वा. शिरवाडकर,Marathi,काव्य,1942,
मृत्युंजय,वि. वा. शिरवाडकर,Marathi,काव्य,1958,
तुका म्हणे,तुकाराम,Marathi,अभंग,1600,
ज्ञानेश्वरी,संत ज्ञानेश्वर,Marathi,आध्यात्मिक,1290,
रामायणम्,वाल्मीकि,Sanskrit,Epic,-500,
महाभारतम्,वेदव्यास,Sanskrit,Epic,-400,
भगवद्गीता,वेदव्यास,Sanskrit,Philosophy,-400,
अभिज्ञानशाकुन्तलम्,कालिदास,Sanskrit,Drama,400,
मेघदूतम्,कालिदास,Sanskrit,Poetry,400,
रघुवंशम्,कालिदास,Sanskrit,Epic Poetry,400,
कुमारसम्भवम्,कालिदास,Sanskrit,Epic Poetry,400,
मालविकाग्निमित्रम्,कालिदास,Sanskrit,Drama,400,
विक्रमोर्वशीयम्,कालिदास,Sanskrit,Drama,400,
मृच्छकटिकम्,शूद्रक,Sanskrit,Drama,500,
स्वप्नवासवदत्तम्,भास,Sanskrit,Drama,300,
प्रतिज्ञायौगन्धरायणम्,भास,Sanskrit,Drama,300,
नाट्यशास्त्रम्,भरतमुनि,Sanskrit,Arts,200,
अर्थशास्त्रम्,कौटिल्य,Sanskrit,Politics,-300,
मनुस्मृतिः,मनु,Sanskrit,Law,200,
योगसूत्रम्,पतञ्जलि,Sanskrit,Philosophy,200,
चरकसंहिता,चरक,Sanskrit,Medicine,200,
सुश्रुतसंहिता,सुश्रुत,Sanskrit,Medicine,200,
पञ्चतन्त्रम्,विष्णु शर्मा,Sanskrit,Fables,300,
हितोपदेशः,नारायण पण्डित,Sanskrit,Fables,1200,
कथासरित्सागरः,सोमदेव,Sanskrit,Stories,1100,
दशकुमारचरितम्,दण्डिन्,Sanskrit,Stories,700,
कादम्बरी,बाणभट्ट,Sanskrit,Romance,650,
हर्षचरितम्,बाणभट्ट,Sanskrit,Biography,650,
शिशुपालवधम्,माघ,Sanskrit,Epic Poetry,700,
किरातार्जुनीयम्,भारवि,Sanskrit,Epic Poetry,600,
नैषधीयचरितम्,श्रीहर्ष,Sanskrit,Epic Poetry,1200,
रावणवधम्,भट्टि,Sanskrit,Epic Poetry,600,
बुद्धचरितम्,अश्वघोष,Sanskrit,Epic Poetry,100,
सौन्दरानन्दम्,अश्वघोष,Sanskrit,Poetry,100,
